Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-06-04),In/Out of Money (as of close 2009-06-04),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-05-29,AMERICAN PREMIER BANCORP,1800000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3175600,,holding company,81126000.00,,Arcadia,CA,,CPP,,,,,,,
2009-05-29,CB HOLDING CORP.,4114000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3184901,,holding company,164478000.00,,Aledo,IL,,CPP,,,,,,,
2009-05-28,Nationstar Mortgage LLC,101000000.00,N/A,Financial Instrument for Home Loan Modifications,Purchase,,,mortgage company,,,Lewisville,TX,,HAMP,,,,,,,
2009-05-27,First Manitowoc Bancorp Inc.,-12000000.00,Par,Preferred Stock w/ Exercised Warrants,Repayment,1208009,,holding company,793228000.00,Federal Reserve,Manitowoc,WI,,CPP,,,,,,,
2009-05-27,First Niagara Financial Group,-18401100.00,Par,Preferred Stock w/ Warrants,Repayment,,H3915,thrift holding company,9239610000.00,,Lockport,NY,FNFG,CPP,,,12.67,,,,
2009-05-27,General Motors Corporation,360624198.00,N/A,Debt Obligation w/ Additional Note,Purchase,,,auto company,91047000000.00,,Detroit,MI,GM,AIFP,,,0.75,,,,
2009-05-27,Washington Federal Inc.,-200000000.00,Par,Preferred Stock w/ Warrants,Repayment,,H2427,thrift holding company,12516153000.00,,Seattle,WA,WFSL,CPP,,,13.39,,,,
2009-05-22,LANDRUM COMPANY,15000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1054514,,holding company,1332922000.00,,Columbia,MO,,CPP,,,,,,,
2009-05-22,PREMIER FINANCIAL CORP.,6349000.00,Par,Subordinated Debentures w/ Exercised Warrants,Purchase,2687124,,holding company,266778000.00,,Dubuque,IA,,CPP,,,,,,,
2009-05-22,UNITED BANK CORPORATION,14400000.00,Par,Subordinated Debentures w/ Exercised Warrants,Purchase,1082777,,holding company,804943000.00,,Barnesville,GA,,CPP,,,,,,,
2009-05-22,UNIVERSAL BANCORP,9900000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1097511,,holding company,440602000.00,,Bloomfield,IN,,CPP,,,,,,,
2009-05-21,GMAC LLC,7500000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,,,auto company,,,Detroit,MI,GJM,AIFP,,,15.75,,,,
2009-05-20,Chrysler LLC,756857000.00,N/A,Debt Obligation w/ Additional Note,Purchase,,,auto company,,Other,Wilmington ,DE,,AIFP,,,,,,,
2009-05-20,General Motors Corporation,4000000000.00,N/A,Debt Obligation w/ Additional Note,Purchase,,,auto company,91047000000.00,,Detroit,MI,GM,AIFP,,,0.75,,,,
2009-05-20,SCBT Financial Corporation,-64779000.00,Par,Preferred Stock w/Warrants,Repayment,1133437,,holding company,2763151000.00,Federal Reserve,Columbia,SC,SCBT,CPP,,,24.89,,,,
2009-05-20,Somerset Hills Bancorp,-7414000.00,Par,Preferred Stock w/Warrants,Repayment,2950480,,holding company,299389000.00,Federal Reserve,Bernardsville,NJ,SOMH,CPP,,,8.40,,,,
2009-05-15,DEERFIELD FINANCIAL CORPORATION,2639000.00,Par,Subordinated Debentures w/ Exercised Warrants,Purchase,1416738,,holding company,88749000.00,,Madison,WI,,CPP,,,,,,,
2009-05-15,MERCANTILE BANK CORPORATION,21000000.00,Par,Preferred Stock w/ Warrants,Purchase,2608763,,holding company,2203768000.00,,Grand Rapids,MI,,CPP,,,,,,,
2009-05-15,Northern State Bank,1341000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58054,,bank,46049000.00,FDIC,Closter,NJ,,CPP,,,,,,,
2009-05-15,WORTHINGTON FEDERAL BANK,2720000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,32649,,bank,110550000.00,Thrift,Huntsville,AL,,CPP,,,,,,,
2009-05-13,Alliance Financial Corporation,-26918000.00,Par,Preferred Stock w/Warrants,Repayment,1140510,,holding company,1359556000.00,Federal Reserve,Syracuse,NY,ALNC,CPP,,,25.69,,,,
2009-05-08,Highlands State Bank,3091000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58048,,bank,63440000.00,FDIC,Vernon,NJ,,CPP,,,,,,,
2009-05-08,One Georgia Bank,5500000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58238,,bank,218004000.00,FDIC,Atlanta,GA,,CPP,,,,,,,
2009-05-08,SWORD FINANCIAL CORPORATION,13644000.00,Par,Subordinated Debentures w/ Exercised Warrants,Purchase,1202883,,holding company,492397000.00,,Horicon,WI,,CPP,,,,,,,
2009-05-01,CenterBank,2250000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,35117,,bank,89164000.00,FDIC,Milford,OH,,CPP,,,,,,,
2009-05-01,Chrysler LLC,3340000000.00,,Debt Obligation w/ Additional Note,Purchase,,,auto company,,Other,Wilmington ,DE,,AIFP,,,,,,,
2009-05-01,Georgia Primary Bank,4500000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58523,,bank,163303000.00,FDIC,Atlanta,GA,,CPP,,,,,,,
2009-05-01,HPK FINANCIAL CORPORATION,4000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1138049,,holding company,336888000.00,,Chicago,IL,,CPP,,,,,,,
2009-05-01,SECURITY STATE BANK HOLDING COMPANY,10750000.00,Par,Subordinated Debentures w/Exercised Warrants,Purchase,1124257,,holding company,458913000.00,,Jamestown,ND,,CPP,,,,,,,
2009-05-01,Union Bank & Trust Company,3194000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,58245,,bank,123473000.00,FDIC,Oxford,NC,,CPP,,,,,,,
2009-05-01,VILLAGE BANK AND TRUST FINANCIAL CORP.,14738000.00,Par,Preferred Stock w/Warrants,Purchase,3251027,,holding company,557373000.00,,Midlothian,VA,,CPP,,,,,,,
2009-04-29,Chrysler Holding LLC,280130642.00,,Debt Obligation w/Additional Note,Purchase,,,auto company,,,Auburn Hills,MI,,AIFP,,,,,,,
2009-04-29,Chrysler Holding LLC,500000000.00,,Debt Obligation w/Additional Note,Purchase,,,auto company,,,Auburn Hills,MI,,AIFP,,,,,,,
2009-04-27,First Western Trust Bank,195000000.00,,Financial Instrument for Home Loan Modification,Purchase,58717,,bank,,,Scottsdale,AZ,,HAMP,,,,,,,
